"post_id","party_name","case_number","case_type","case_status","file_date","status_date"
67326508,North Middlesex Savings Bank,"0981CV02160",Real Property,Closed,20090605,20090805
67330103,North Middlesex Savings Bank,"0981CV02159",Real Property,Closed,20090605,20090805
68120714,North Middlesex Savings Bank,"0981CV00303",Real Property,Closed,20090126,20090706
68301210,North Middlesex Savings Bank,"0981CV00794",Contract / Business Cases,Open,20090227,20091207
68352342,North Middlesex Savings Bank,"0985CV02035",Real Property,Closed,20090901,20091203
73839060,North Middlesex Savings Bank,"1581CV05007",Real Property,Closed,20150714,20150812
73915758,North Middlesex Savings Bank,"1581CV02983",Contract / Business Cases,Closed,20150512,20150729
75622041,North Middlesex Savings Bank,"0981CV04294",Real Property,Closed,20091103,20100323
75765222,North Middlesex Savings Bank,"1685CV00946",Real Property,Open,20160628,20160628
75806572,North Middlesex Savings Bank,"0981CV04216",Real Property,Closed,20091029,20091218
76856580,North Middlesex Savings Bank,"10 MISC 428315",Servicemembers,Closed,20100426,20161118
77119196,North Middlesex Savings Bank,"0881CV00010",Contract / Business Cases,Closed,20080103,20110127
77119270,North Middlesex Savings Bank,"0881CV00015",Contract / Business Cases,Closed,20080103,20110127
5009255,Middlesex Savings Bank as,"14 MISC 484127",Servicemembers,Closed,20140606,20140722
9154854,Middlesex Savings Bank F/K/A Strata Bank,"1466CV000280",Civil,Disposed (Statistical Purposes),20140805,20141114
28102387,Middlesex Savings Bank F/K/A Strata Bank,"1587CV000106",Civil,Pending,20151014,20151014
31718271,Middlesex Savings Bank F/K/A Strata Bank,"1587CV000012",Civil,Disposed (Statistical Purposes),20150204,20150618
67229899,Middlesex Savings Bank F/K/A Strata Bank,"1082CV01402",Real Property,Closed,20100730,20101216
69104110,Middlesex Savings Bank F/K/A Strata Bank,"1387CV000030",Civil,Disposed (Statistical Purposes),20130307,20130319
74664792,Middlesex Savings Bank F/K/A Strata Bank,"1182CV01727",Real Property,Closed,20111116,20120308
74746262,Middlesex Savings Bank F/K/A Strata Bank,"1282CV00152",Real Property,Closed,20120125,20120411
75964253,Middlesex Savings Bank F/K/A Strata Bank,"1182CV00466",Real Property,Closed,20110325,20110617
